id,fold,iou,error_cm,error_0_5cm,error_1cm
UnetPlusPlus_resnet50_bce,1,0.7721420627959231,0.6888297872340425,48.93617021276596,87.2340425531915
UnetPlusPlus_resnet50_bce,2,0.6874263337317933,0.5026595744680851,57.446808510638306,89.36170212765957
UnetPlusPlus_resnet50_bce,3,0.6387919219250374,1.2514775413711583,51.06382978723404,57.446808510638306
UnetPlusPlus_resnet50_bce,4,0.6244842310746511,0.7980324074074073,54.166666666666664,75.0
UnetPlusPlus_resnet50_bce,5,0.6609256068865458,0.7170138888888888,41.66666666666667,79.16666666666666
UnetPlusPlus_timm-regnetx_064_bce,1,0.7746862223807801,0.4406028368794327,68.08510638297872,87.2340425531915
UnetPlusPlus_timm-regnetx_064_bce,2,0.7422402501106262,0.5564420803782505,63.829787234042556,87.2340425531915
UnetPlusPlus_timm-regnetx_064_bce,3,0.6752261069226773,1.1356382978723405,51.06382978723404,70.2127659574468
UnetPlusPlus_timm-regnetx_064_bce,4,0.6732585330804189,0.9519675925925926,52.083333333333336,68.75
UnetPlusPlus_timm-regnetx_064_bce,5,0.6575621366500854,0.8810763888888888,50.0,75.0
UnetPlusPlus_timm-regnety_064_bce,1,0.7409918663349557,0.7364066193853429,55.319148936170215,78.72340425531915
UnetPlusPlus_timm-regnety_064_bce,2,0.7031256328237817,0.6971040189125295,51.06382978723404,85.1063829787234
UnetPlusPlus_timm-regnety_064_bce,3,0.6433962919610612,1.385933806146572,40.42553191489361,57.446808510638306
UnetPlusPlus_timm-regnety_064_bce,4,0.7081202268600464,1.037037037037037,45.83333333333333,58.333333333333336
UnetPlusPlus_timm-regnety_064_bce,5,0.6535134017467499,0.8547453703703703,52.083333333333336,72.91666666666666
Unet_resnet50_bce,1,0.7039750154982222,0.5626477541371158,63.829787234042556,76.59574468085107
Unet_resnet50_bce,2,0.6906440765299695,1.0197990543735223,46.808510638297875,72.3404255319149
Unet_resnet50_bce,3,0.602998934527661,1.716903073286052,25.53191489361702,40.42553191489361
Unet_resnet50_bce,4,0.6096757054328918,1.0208333333333333,50.0,62.5
Unet_resnet50_bce,5,0.6304622789223989,0.7311921296296297,50.0,81.25
Unet_timm-regnetx_064_bce,1,0.7678884305852525,0.4178486997635934,74.46808510638297,95.74468085106383
Unet_timm-regnetx_064_bce,2,0.7318527635107649,0.8294917257683215,57.446808510638306,82.97872340425532
Unet_timm-regnetx_064_bce,3,0.6481966033894965,1.1604609929078011,46.808510638297875,63.829787234042556
Unet_timm-regnetx_064_bce,4,0.6758857568105062,0.7899305555555555,56.25,72.91666666666666
Unet_timm-regnetx_064_bce,5,0.6968911985556284,0.6562499999999999,54.166666666666664,81.25
Unet_timm-regnety_064_bce,1,0.7733351727749439,0.5895390070921985,65.95744680851064,93.61702127659575
Unet_timm-regnety_064_bce,2,0.7511176568396548,0.5460992907801417,63.829787234042556,82.97872340425532
Unet_timm-regnety_064_bce,3,0.669019546914608,1.0570330969267139,44.680851063829785,59.57446808510638
Unet_timm-regnety_064_bce,4,0.6880345543225607,0.7777777777777777,56.25,77.08333333333334
Unet_timm-regnety_064_bce,5,0.6801803012688955,0.599537037037037,60.416666666666664,83.33333333333334
