id,fold,iou,error_cm,error_0_5cm,error_1cm,loss,no
Unet_resnet50_dice,1,0.7318593783581511,0.6122931442080378,57.44680851063831,82.97872340425532,0.1585373729467392,0.0
Unet_resnet50_dice,1,0.6887848326500426,0.833628841607565,42.5531914893617,78.72340425531915,0.1895999610424041,1.0
Unet_resnet50_dice,1,0.7100519677425953,0.6040189125295508,55.319148936170215,85.1063829787234,0.173343539237976,2.0
Unet_resnet50_dice,1,0.7149358607353048,0.6040189125295508,53.191489361702125,78.72340425531915,0.1711335480213165,3.0
Unet_resnet50_dice,1,0.7343675912694728,0.5978132387706856,57.44680851063831,87.2340425531915,0.1571540534496307,4.0
Unet_resnet50_dice,2,0.664990430182599,1.1004728132387709,48.93617021276596,68.08510638297872,0.208447977900505,0.0
Unet_resnet50_dice,2,0.6763824262517564,0.635047281323877,61.70212765957447,82.97872340425532,0.1957744657993316,1.0
Unet_resnet50_dice,2,0.6828352111451169,0.8563829787234041,59.57446808510638,78.72340425531915,0.1904454231262207,2.0
Unet_resnet50_dice,2,0.6350726409161345,1.2328605200945624,34.04255319148936,48.93617021276596,0.2332894504070282,3.0
Unet_resnet50_dice,2,0.6378300215335603,1.1563238770685578,46.80851063829788,59.57446808510638,0.2289236187934875,4.0
Unet_resnet50_dice,3,0.6341547953321579,1.5452127659574468,42.5531914893617,59.57446808510638,0.2277507483959198,0.0
Unet_resnet50_dice,3,0.6117042328449006,1.7872340425531914,34.04255319148936,46.80851063829788,0.2514663636684418,1.0
Unet_resnet50_dice,3,0.6018897301339089,1.6134751773049645,38.297872340425535,61.70212765957447,0.2582506835460663,2.0
Unet_resnet50_dice,3,0.6375240239691227,1.6465721040189123,34.04255319148936,53.191489361702125,0.227263793349266,3.0
Unet_resnet50_dice,3,0.6030155020825406,1.8017139479905435,38.297872340425535,53.191489361702125,0.2572726905345917,4.0
Unet_resnet50_dice,4,0.6076598962148031,1.7702546296296295,16.666666666666664,39.58333333333333,0.2530363798141479,0.0
Unet_resnet50_dice,4,0.5908025105794271,1.2051504629629628,41.66666666666667,60.41666666666666,0.259725272655487,1.0
Unet_resnet50_dice,4,0.6482869585355123,1.2395833333333333,39.58333333333333,66.66666666666666,0.2224175930023193,2.0
Unet_resnet50_dice,4,0.5958870848019918,1.2355324074074072,37.5,64.58333333333334,0.2613106966018677,3.0
Unet_resnet50_dice,4,0.6826552947362264,0.7737268518518517,47.91666666666667,72.91666666666666,0.1940234750509262,4.0
Unet_resnet50_dice,5,0.6446209748586019,0.7534722222222222,52.083333333333336,77.08333333333334,0.2216597646474838,0.0
Unet_resnet50_dice,5,0.6066654721895853,0.9074074074074074,52.083333333333336,77.08333333333334,0.2504532933235168,1.0
Unet_resnet50_dice,5,0.6206565896670023,0.7798032407407406,50.0,79.16666666666666,0.2397834509611129,2.0
Unet_resnet50_dice,5,0.6090048352877299,0.8932291666666666,39.58333333333333,66.66666666666666,0.2483213990926742,3.0
Unet_resnet50_dice,5,0.6468872229258219,0.6927083333333334,56.25,77.08333333333334,0.2194514274597168,4.0
Unet_resnet50_focal,1,0.628989058606168,0.7384751773049645,57.446808510638306,82.97872340425532,0.00767019297927618,0.0
Unet_resnet50_focal,1,0.23654089138862935,2.1347517730496453,12.76595744680851,42.5531914893617,0.008622832596302032,1.0
Unet_resnet50_focal,1,0.4349850523979106,0.8067375886524822,44.680851063829785,74.46808510638297,0.008794083259999752,2.0
Unet_resnet50_focal,1,0.6274481656703543,1.0632387706855793,53.191489361702125,65.95744680851064,0.007146890740841627,3.0
Unet_resnet50_focal,1,0.6542880243443429,0.7695035460992907,57.446808510638306,80.85106382978722,0.00702743511646986,4.0
Unet_resnet50_focal,2,0.4795718491077423,0.8274231678486997,38.297872340425535,65.95744680851064,0.009186947718262672,0.0
Unet_resnet50_focal,2,0.5369393153393522,0.7695035460992907,21.27659574468085,78.72340425531915,0.00972916278988123,1.0
Unet_resnet50_focal,2,0.6090775994544334,0.5957446808510638,53.191489361702125,87.2340425531915,0.008746417239308357,2.0
Unet_resnet50_focal,2,0.4515546718810467,1.0715130023640662,31.914893617021278,57.446808510638306,0.007829401642084122,3.0
Unet_resnet50_focal,2,0.2947603318285435,1.4459219858156027,23.404255319148938,51.06382978723404,0.00986677035689354,4.0
Unet_resnet50_focal,3,0.36497394328421734,1.5534869976359338,31.914893617021278,59.57446808510638,0.010432146489620209,0.0
Unet_resnet50_focal,3,0.4703554029160358,1.905141843971631,19.148936170212767,36.17021276595745,0.01163666881620884,1.0
Unet_resnet50_focal,3,0.585182158236808,1.4417848699763594,25.53191489361702,53.191489361702125,0.009746862575411797,2.0
Unet_resnet50_focal,3,0.4460963917539475,1.5617612293144207,29.78723404255319,53.191489361702125,0.009514047764241695,3.0
Unet_resnet50_focal,3,0.4561275174009039,2.0851063829787235,34.04255319148936,42.5531914893617,0.01012319978326559,4.0
Unet_resnet50_focal,4,0.5402069191137949,1.2294560185185184,41.66666666666667,58.333333333333336,0.009362566284835339,0.0
Unet_resnet50_focal,4,0.2893498142560323,2.029513888888889,29.166666666666668,47.91666666666667,0.011814641766250134,1.0
Unet_resnet50_focal,4,0.16159574190775552,1.9545717592592593,20.833333333333336,41.66666666666667,0.011031964793801308,2.0
Unet_resnet50_focal,4,0.5322748025258383,1.251736111111111,35.41666666666667,56.25,0.009447980672121048,3.0
Unet_resnet50_focal,4,0.0,10.234664351851851,0.0,0.0,0.009302366524934769,4.0
Unet_resnet50_focal,5,0.43677398562431335,0.8628472222222222,43.75,66.66666666666666,0.00984273198992014,0.0
Unet_resnet50_focal,5,0.24715126554171243,2.163194444444444,22.916666666666664,43.75,0.013648665510118008,1.0
Unet_resnet50_focal,5,0.5219282408555349,1.0046296296296295,29.166666666666668,60.416666666666664,0.009432093240320683,2.0
Unet_resnet50_focal,5,0.5600500106811523,0.9701967592592592,33.33333333333333,66.66666666666666,0.010450081899762154,3.0
Unet_resnet50_focal,5,0.5266825258731842,0.7291666666666666,52.083333333333336,75.0,0.009448379278182983,4.0
Unet_resnet50_bce,1,0.6630845450340433,0.8439716312056738,55.319148936170215,74.46808510638297,0.025176595896482468,0.0
Unet_resnet50_bce,1,0.6467642226117722,1.0032505910165483,42.5531914893617,63.829787234042556,0.02511846087872982,1.0
Unet_resnet50_bce,1,0.641573393598516,0.916371158392435,48.93617021276596,63.829787234042556,0.029898732900619507,2.0
