id,fold,iou,error_cm,error_0_5cm,error_1cm,loss
Unet_timm-regnety_064_dice,1,0.7799055005641694,0.6184988179669031,68.08510638297872,89.36170212765957,0.12573601305484772
Unet_timm-regnety_064_dice,2,0.7563613780001377,0.5047281323877069,57.446808510638306,91.48936170212765,0.14077049493789673
Unet_timm-regnety_064_dice,3,0.6905824199635932,0.8667257683215129,51.06382978723404,72.3404255319149,0.18948113918304443
Unet_timm-regnety_064_dice,4,0.6939964592456818,0.7737268518518517,60.416666666666664,72.91666666666666,0.18381929397583008
Unet_timm-regnety_064_dice,5,0.6970770259698232,0.8263888888888888,52.083333333333336,79.16666666666666,0.18094000220298767
Unet_timm-regnety_064_focal,1,0.7127431035041809,0.49852245862884165,63.829787234042556,91.48936170212765,0.00683209951967001
Unet_timm-regnety_064_focal,2,0.5843244550075937,0.7839834515366431,59.57446808510638,74.46808510638297,0.005952315405011177
Unet_timm-regnety_064_focal,3,0.44455582030276036,1.7355200945626477,27.659574468085108,55.319148936170215,0.01036737859249115
Unet_timm-regnety_064_focal,4,0.6545133888721466,0.9074074074074074,41.66666666666667,70.83333333333334,0.00904147233814001
Unet_timm-regnety_064_focal,5,0.6067222704490026,0.6380208333333331,70.83333333333334,85.41666666666666,0.00875057838857174
