id,fold,iou,error_cm,error_0_5cm,error_1cm,loss
UnetPlusPlus_timm-regnetx_064_bce,1,0.7746862223807801,0.4406028368794327,68.08510638297872,87.2340425531915,0.017537280917167664
UnetPlusPlus_timm-regnetx_064_bce,2,0.7422402501106262,0.5564420803782505,63.829787234042556,87.2340425531915,0.020681994035840034
UnetPlusPlus_timm-regnetx_064_bce,3,0.6752261069226773,1.1356382978723405,51.06382978723404,70.2127659574468,0.030442774295806885
UnetPlusPlus_timm-regnetx_064_bce,4,0.6732585330804189,0.9519675925925926,52.083333333333336,68.75,0.028250623494386673
UnetPlusPlus_timm-regnetx_064_bce,5,0.6575621366500854,0.8810763888888888,50.0,75.0,0.03264637291431427
UnetPlusPlus_timm-regnety_064_bce,1,0.7409918663349557,0.7364066193853429,55.319148936170215,78.72340425531915,0.018973641097545624
UnetPlusPlus_timm-regnety_064_bce,2,0.7031256328237817,0.6971040189125295,51.06382978723404,85.1063829787234,0.02182973176240921
UnetPlusPlus_timm-regnety_064_bce,3,0.6433962919610612,1.385933806146572,40.42553191489361,57.446808510638306,0.032107312232255936
UnetPlusPlus_timm-regnety_064_bce,4,0.7081202268600464,1.037037037037037,45.83333333333333,58.333333333333336,0.02775365486741066
UnetPlusPlus_timm-regnety_064_bce,5,0.6535134017467499,0.8547453703703703,52.083333333333336,72.91666666666666,0.027326470240950584
